Anio,Ventas
1978,46.997
1979,62.885
1980,80.659
1981,102.875
1982,112.894
1983,135.137
1984,170.751
1985,181.89
1986,182.488
1987,194.15
1988,215.945
1989,225.588
1990,209.393
1991,210.399
1992,220.999
1993,225.31
1994,241.482
1995,299.541
1996,339.048
1997,376.476
1998,386.95
1999,407.266
2000,439.464
2001,395.245
2002,332.569
2003,338.902
2004,332.48
2005,333.227
2006,357.115
2007,359.29
2008,362.242
2009,336.22
2010,319.554
2011,322.161
2012,355.273
2013,354.437
2014,354.748
2015,341.853
2016,351.089
2017,336.887
2018,378.934
2019,419.719
2020,410.643
2021,476.843
2022,525.655
2023,595.855
2024,581.886
